"abundance","ASV","ASVNumber","AverageShortestPathLength","Betweenness Dir","BetweennessCentrality","Bridging Dir","Class","Closeness Dir","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","EigenVector Dir","Genus","Indegree","IsSingleNode","Kingdom","Label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","Radiality Dir","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"577.0","Phialemoniopsis","b339d9bf84b94fee469c60751296f76f","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","2","0","2","0.0","Xylariales_fam_Incertae_sedis","2","false","Fungi","458",,"Unclustered","1.0","458","0","1.0","Xylariales","458","0","1","Ascomycota","2","8.960573476702509E-4","2","false","0","458","0","0"
"474.0","Meira","353c6311464c88b8e44375a6d403beba","1.0","0.0","0.0","0.0","Exobasidiomycetes","1.0","1.0","0.0","2","1","2","1.0","Brachybasidiaceae","0","false","Fungi","350",,"Unclustered","1.0","350","0","1.0","Exobasidiales","350","2","1","Basidiomycota","2","8.968609865470852E-4","4","false","0","350","0","0"
"353.0","Actinoplanes","b9bc2762d1e85ec8666bbfe9983254fe","1.0","0.0","0.0","0.0","Actinobacteria","1.0","1.0","0.0","2","1","2","0.0","Micromonosporaceae","1","false","Bacteria","211",,"Unclustered","1.0","211","0","1.0","Micromonosporales","211","1","1","Actinobacteriota","2","8.968609865470852E-4","5","false","0","211","0","0"
"438.0","fe89b57e6b7b879f73edc7a508c14fab","299","1.0","0.0","0.0","0.0","Acidobacteriae","1.0","1.0","0.0","2","1","2","0.0","Acidobacteriaceae_(Subgroup_1)","1","false","Bacteria","299",,"Unclustered","1.0","299","0","1.0","Acidobacteriales","299","1","1","Acidobacteriota","2","8.968609865470852E-4","4","false","0","299","0","0"
"1052.0","Robbsia","1ec9fd06c88669eb15764e0b441ade46","0.0","0.0","0.0","0.0","Gammaproteobacteria","0.0","0.0","0.0","2","0","2","0.0","Burkholderiaceae","2","false","Bacteria","31",,"Unclustered","1.0","31","0","1.0","Burkholderiales","31","0","1","Proteobacteria","2","8.960573476702509E-4","3","false","0","31","0","0"
"2884.0","Massilia","8df2b2e6c1cb64bd18b81d5bae7f0898","1.0","0.0","0.0","0.0","Gammaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Oxalobacteraceae","0","false","Bacteria","147",,"Unclustered","1.0","147","0","1.0","Burkholderiales","147","2","1","Proteobacteria","2","8.968609865470852E-4","6","false","0","147","0","0"
"511.0","Trichothecium","618be8e1f49fadedc18415d69bb6e95f","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","4","0","4","0.0","Hypocreales_fam_Incertae_sedis","4","false","Fungi","393",,"Unclustered","0.6666666666666666","393","0","4.5","Hypocreales","393","0","2","Ascomycota","4","8.960573476702509E-4","3","false","0","393","0","0"
"358.0","Labrys","78d965a900ff7e19d546b879c9b0bf12","0.0","0.0","0.0","0.0","Alphaproteobacteria","0.0","0.0","0.0","2","0","2","0.0","Labraceae","2","false","Bacteria","127",,"Unclustered","1.0","127","0","1.0","Rhizobiales","127","0","1","Proteobacteria","2","8.960573476702509E-4","4","false","0","127","0","0"
"331.0","Sphingomonas","6f7fdad1419595b3bb1e5ceda289402b","1.0","0.0","0.0","0.0","Alphaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Sphingomonadaceae","0","false","Bacteria","118",,"Unclustered","1.0","118","0","1.0","Sphingomonadales","118","2","1","Proteobacteria","2","8.968609865470852E-4","3","false","0","118","0","0"
"628.0","Trichoderma","0a9208a42f7727fb966efea094d574d4","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","2","0","2","0.0","Hypocreaceae","2","false","Fungi","314",,"Unclustered","1.0","314","0","1.0","Hypocreales","314","0","1","Ascomycota","2","8.960573476702509E-4","3","false","0","314","0","0"
"951.0","Teratosphaeria","b346a9f7e6e1f4a5d458dd9afc4489ee","1.0","0.0","0.0","0.0","Dothideomycetes","1.0","1.0","0.0","2","1","2","0.0","Teratosphaeriaceae","0","false","Fungi","459",,"Unclustered","1.0","459","0","1.0","Capnodiales","459","2","1","Ascomycota","2","8.968609865470852E-4","4","false","0","459","0","0"
"509.0","Coniophora","6d20e795b331872f769945fa2e51a7c0","1.5","0.0","0.0","0.0","Agaricomycetes","1.5","0.6666666666666666","0.0","2","2","2","0.0","Coniophoraceae","0","false","Fungi","404",,"Unclustered","1.0","404","0","2.0","Boletales","404","2","1","Basidiomycota","2","8.972633467922835E-4","5","false","0","404","0","0"
"491.0","Pestalotiopsis","303e9ab3e4d83037ad04ac4dc6ac3750","1.0","0.0","0.0","0.0","Sordariomycetes","1.0","1.0","0.0","2","1","2","0.0","Sporocadaceae","0","false","Fungi","341",,"Unclustered","1.0","341","0","2.0","Xylariales","341","2","1","Ascomycota","2","8.968609865470852E-4","4","false","0","341","0","0"
"777.0","Bryocella","38ff6a0d927575e1d4dfc646197d5eac","0.0","0.0","0.0","0.0","Acidobacteriae","0.0","0.0","0.0","2","0","2","0.0","Acidobacteriaceae_(Subgroup_1)","2","false","Bacteria","61",,"Unclustered","1.0","61","0","1.0","Acidobacteriales","61","0","1","Acidobacteriota","2","8.960573476702509E-4","2","false","0","61","0","0"
"11027.0","Curtobacterium","60a8843517f35173407a9d146488e1ac","1.0","0.0","0.0","0.0","Actinobacteria","1.0","1.0","0.0","2","1","2","0.0","Microbacteriaceae","0","false","Bacteria","103",,"Unclustered","1.0","103","0","1.0","Micrococcales","103","2","1","Actinobacteriota","2","8.968609865470852E-4","8","false","0","103","0","0"
"567.0","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","a9164d01308501b576afa06256a15b0f","1.0","0.0","0.0","0.0","Alphaproteobacteria","2.0","1.0","1.0","4","1","4","0.0","Rhizobiaceae","0","false","Bacteria","184","Cluster 13","Clustered","2.0","184","0","2.0","Rhizobiales","184","4","2","Proteobacteria","4","8.976660682226212E-4","2","false","0","184","0","0"
"292.0","Rhizobiaceae","01eb048de56826af7defb3397874e368","4.714285714285714","0.0","0.0","0.0","Alphaproteobacteria","4.870634920634921","0.21212121212121213","1.0","8","9","8","0.0","Rhizobiaceae","5","false","Bacteria","3","Cluster 4","Clustered","4.0","3","0","5.25","Rhizobiales","3","3","4","Proteobacteria","8","8.999852145286185E-4","2","false","0","3","0","0"
"677.0","Fusarium","1cfed5ec88a3950b146bd54d22797e37","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","2","0","2","0.0","Nectriaceae","2","false","Fungi","328",,"Unclustered","1.0","328","0","1.0","Hypocreales","328","0","1","Ascomycota","2","8.960573476702509E-4","2","false","0","328","0","0"
"274.0","Acidipila","76566c5c59d91344308b7d40d21bb19f","1.0","0.0","0.0","0.0","Acidobacteriae","1.0","1.0","0.0","2","1","2","0.0","Acidobacteriaceae_(Subgroup_1)","0","false","Bacteria","125",,"Unclustered","1.0","125","0","1.0","Acidobacteriales","125","2","1","Acidobacteriota","2","8.968609865470852E-4","3","false","0","125","0","0"
"772.0","Beijerinckiaceae","f595fccfcd1db925b951905095797142","2.0","4.0","1.1666666666666665","0.7272727272727273","Alphaproteobacteria","2.333333333333333","0.5","0.6666666666666666","6","3","6","0.0","Beijerinckiaceae","5","false","Bacteria","287","Cluster 6","Clustered","3.0","287","0","3.3333333333333335","Rhizobiales","287","1","3","Proteobacteria","6","8.979347500748278E-4","3","false","0","287","14","0"
"575.0","Rosellinia","4d9d1a912010cfaccee2c1f918d3b3ff","4.333333333333333","0.0","0.0","0.0","Sordariomycetes","2.9595238095238097","0.23076923076923078","0.0","2","7","2","0.0","Xylariaceae","0","false","Fungi","371",,"Unclustered","1.0","371","0","2.0","Xylariales","371","2","1","Ascomycota","2","8.98439923247561E-4","4","false","0","371","0","0"
"640.0","Rosellinia","e9a196fbd99e218452df51a2cc62e00a","2.0","0.0","0.0","0.0","Sordariomycetes","1.8333333333333333","0.5","1.0","4","3","4","0.0","Xylariaceae","2","false","Fungi","495","Cluster 12","Clustered","2.0","495","0","2.5","Xylariales","495","2","2","Ascomycota","4","8.975317875841435E-4","4","false","0","495","0","0"
"442.0","Caulobacteraceae","caa610fd9428bca7e15a538a9b80c26a","2.5","0.0","0.0","0.0","Alphaproteobacteria","2.0833333333333335","0.4","0.0","2","4","2","0.0","Caulobacteraceae","1","false","Bacteria","229",,"Unclustered","1.0","229","0","4.0","Caulobacterales","229","1","1","Proteobacteria","2","8.977332236103837E-4","2","false","0","229","0","0"
"659.0","Cytospora","9ca3105a117897b37ca2a3f811964073","1.0","0.0","0.0","0.0","Sordariomycetes","1.0","1.0","0.0","2","1","2","0.0","Valsaceae","0","false","Fungi","442",,"Unclustered","1.0","442","0","2.0","Diaporthales","442","2","1","Ascomycota","2","8.968609865470852E-4","3","false","0","442","0","0"
"731.0","Cryptodiscus","33dd0ebd99c2b8569ee1921e7eff0623","0.0","0.0","0.0","0.0","Lecanoromycetes","0.0","0.0","0.0","2","0","2","0.0","Stictidaceae","2","false","Fungi","349",,"Unclustered","1.0","349","0","1.0","Ostropales","349","0","1","Ascomycota","2","8.960573476702509E-4","6","false","0","349","0","0"
"437.0","Aureimonas","c9b6e04be566bc2c4ce974446ca9f50e","1.0","0.0","0.0","0.0","Alphaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Rhizobiaceae","0","false","Bacteria","227",,"Unclustered","1.0","227","0","1.0","Rhizobiales","227","2","1","Proteobacteria","2","8.968609865470852E-4","6","false","0","227","0","0"
"823.0","Sphingomonas","209f39c01f47a03c22d8db8b642abc48","3.857142857142857","4.2","0.373015873015873","0.6485294117647059","Alphaproteobacteria","6.39404761904762","0.25925925925925924","0.75","8","8","8","0.0","Sphingomonadaceae","4","false","Bacteria","34","Cluster 4","Clustered","4.0","34","0","5.25","Sphingomonadales","34","4","4","Proteobacteria","8","9.012208323632692E-4","2","false","0","34","287","0"
"511.0","Valsa","66b09181fa15f98369e57d16b86572e0","1.3333333333333333","0.5","0.16666666666666666","0.1875","Sordariomycetes","2.5","0.75","0.5","4","2","4","0.0","Valsaceae","2","false","Fungi","398","Cluster 7","Clustered","2.0","398","0","3.0","Diaporthales","398","2","2","Ascomycota","4","8.98069151324652E-4","2","false","0","398","2","0"
"292.0","Acetobacteraceae","017d41c1827158caf647cd30b7e12320","3.9285714285714284","8.0","0.37142857142857144","1.2352941176470589","Alphaproteobacteria","5.89404761904762","0.2545454545454546","0.8333333333333334","8","8","8","0.0","Acetobacteraceae","5","false","Bacteria","2","Cluster 4","Clustered","4.0","2","0","5.25","Acetobacterales","2","3","4","Proteobacteria","8","9.008149157791673E-4","2","false","0","2","286","0"
"737.0","Meira","f20368740e8f78f45227fec94674b531","1.0","0.0","0.0","0.0","Exobasidiomycetes","1.0","1.0","0.0","2","1","2","0.0","Brachybasidiaceae","1","false","Fungi","501",,"Unclustered","1.0","501","0","1.0","Exobasidiales","501","1","1","Basidiomycota","2","8.968609865470852E-4","2","false","0","501","0","0"
